"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
bkb,bkbsin,"<b><font size = 4> <center>BKBSiN",yesno,"BKBSiN Tested",,,,,,,,y,,,,,
bkb_tester,bkbsin,,dropdown,Tester,"1, JTP | 2, JLM | 3, EKC | 4, SDF | 5, AJP | 6, LMB | 7, TEW",,,,,,"[bkb] = '1'",y,,,,,
bkb_asset,bkbsin,,dropdown,"Asset Tag","181659, P18-1659",,,,,,"[bkb] = '1'",y,,,,,
bkb_volume2,bkbsin,,dropdown,"Program Volume
<font color = ""gray"">(Media Player)","1, 50 | 2, 55 | 3, 52 | 4, 20",,,,,,"[bkb] = '1'",y,,,,,
bkb_list,bkbsin,,dropdown,"BKB List","1, List 1 (Track 3) | 7, List 7 (Track 9) | 8, List 8 (Track 10) | 9, List 9 (Track 11) | 10, List 10 (Track 12)",,,,,,"[bkb] = '1'",y,,,,,
bkb1a101,bkbsin,"<div class = ""gray""> <center> <font size = 3> <b>List 1A</b> </div class> 

1. <u>They</u> <font color = ""gray"">are</font color> <u>looking at </u><font color = ""gray""> the </font color> <u> clock</u>.",radio,"<div style=""text-align:right"">They","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a1,,
bkb1a102,bkbsin,,radio,"<div style=""text-align:right"">looking","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a1,,
bkb1a103,bkbsin,,radio,"<div style=""text-align:right"">at","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a1,,
bkb1a104,bkbsin,,radio,"<div style=""text-align:right"">clock","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a1,,
bkb1a1,bkbsin,,calc,"1. <u>They</u> <font color = ""gray"">are</font color> <u>looking at </u><font color = ""gray""> the </font color> <u> clock</u>.","sum([bkb1a101],[bkb1a102],[bkb1a103],[bkb1a104])",,,,,,"[bkb_list] = '1'",y,,,,,
bkb1a201,bkbsin,"<font size=3>2. <font color = ""gray"">The</font color> <u>car engine </u><font color = ""gray""> is </font color> <u> running</u>.",radio,"<div style=""text-align:right"">car","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a2,,
bkb1a202,bkbsin,,radio,"<div style=""text-align:right"">engine","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a2,,
bkb1a203,bkbsin,,radio,"<div style=""text-align:right"">running","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a2,,
bkb1a2,bkbsin,,calc,"2. <font color = ""gray"">The</font color> <u>car engine </u><font color = ""gray""> is </font color> <u> running</u>.","sum([bkb1a201],[bkb1a202],[bkb1a203])",,,,,,"[bkb_list] = '1'",y,,,,,
bkb1a301,bkbsin,"<font size=3>3. <u>Children like strawberries</u>.",radio,"<div style=""text-align:right""> Children","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a3,,
bkb1a302,bkbsin,,radio,"<div style=""text-align:right"">like","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a3,,
bkb1a303,bkbsin,,radio,"<div style=""text-align:right"">strawberries","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a3,,
bkb1a3,bkbsin,,calc,"3. <u>Children like strawberries</u>.","sum([bkb1a301],[bkb1a302],[bkb1a303])",,,,,,"[bkb_list] = '1'",y,,,,,
bkb1a401,bkbsin,"<font size=3>4. <u>They</u> <font color = ""gray""> are </font color> <u> buying </u> <font color = ""gray""> some </font color> <u>bread</u>.",radio,"<div style=""text-align:right"">They","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a4,,
bkb1a402,bkbsin,,radio,"<div style=""text-align:right"">buying","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a4,,
bkb1a403,bkbsin,,radio,"<div style=""text-align:right"">bread","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a4,,
bkb1a4,bkbsin,,calc,"4. <u>They</u> <font color = ""gray""> are </font color> <u> buying </u> <font color = ""gray""> some </font color> <u>bread</u>.","sum([bkb1a401],[bkb1a402],[bkb1a403])",,,,,,"[bkb_list] = '1'",y,,,,,
bkb1a501,bkbsin,"<font size=3>5. <font color = ""gray""> The </font color> <u> green tomatoes </u> <font color = ""gray""> are </font color> <u>small</u>.",radio,"<div style=""text-align:right"">green","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a5,,
bkb1a502,bkbsin,,radio,"<div style=""text-align:right"">tomatoes","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a5,,
bkb1a503,bkbsin,,radio,"<div style=""text-align:right"">small","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a5,,
bkb1a5,bkbsin,,calc,"5. <font color = ""gray""> The </font color> <u> green tomatoes </u> <font color = ""gray""> are </font color> <u>small</u>.","sum([bkb1a501],[bkb1a502],[bkb1a503])",,,,,,"[bkb_list] = '1'",y,,,,,
bkb1a601,bkbsin,"<font size=3>6. <u> He played </u> <font color = ""gray""> with his </font color> <u>train</u>.",radio,"<div style=""text-align:right"">He","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a6,,
bkb1a602,bkbsin,,radio,"<div style=""text-align:right"">played","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a6,,
bkb1a603,bkbsin,,radio,"<div style=""text-align:right"">train","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a6,,
bkb1a6,bkbsin,,calc,"6. <u> He played </u> <font color = ""gray""> with his </font color> <u>train</u>.","sum([bkb1a601],[bkb1a602],[bkb1a603])",,,,,,"[bkb_list] = '1'",y,,,,,
bkb1a701,bkbsin,"<font size=3>7. <font color = ""gray""> The </font color> <u> bag fell </u> <font color = ""gray""> to the </font color> <u>ground</u>.",radio,"<div style=""text-align:right"">bag","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a7,,
bkb1a702,bkbsin,,radio,"<div style=""text-align:right"">fell","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a7,,
bkb1a703,bkbsin,,radio,"<div style=""text-align:right"">ground","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a7,,
bkb1a7,bkbsin,,calc,"7. <font color = ""gray""> The </font color> <u> bag fell </u> <font color = ""gray""> to the </font color> <u>ground</u>.","sum([bkb1a701],[bkb1a702],[bkb1a703])",,,,,,"[bkb_list] = '1'",y,,,,,
bkb1a801,bkbsin,"<font size=3>8. <font color = ""gray""> The </font color> <u> boy did </u> <font color = ""gray""> a </font color> <u>handstand</u>.",radio,"<div style=""text-align:right"">boy","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a8,,
bkb1a802,bkbsin,,radio,"<div style=""text-align:right"">did","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a8,,
bkb1a803,bkbsin,,radio,"<div style=""text-align:right"">handstand","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a8,,
bkb1a8,bkbsin,,calc,"8. <font color = ""gray""> The </font color> <u> boy did </u> <font color = ""gray""> a </font color> <u>handstand</u>.","sum([bkb1a801],[bkb1a802],[bkb1a803])",,,,,,"[bkb_list] = '1'",y,,,,,
bkb1a901,bkbsin,"<font size=3>9. <font color = ""gray""> The </font color> <u> water boiled quickly</u>.",radio,"<div style=""text-align:right"">water","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a9,,
bkb1a902,bkbsin,,radio,"<div style=""text-align:right"">boiled","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a9,,
bkb1a903,bkbsin,,radio,"<div style=""text-align:right"">quickly","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a9,,
bkb1a9,bkbsin,,calc,"9. <font color = ""gray""> The </font color> <u> water boiled quickly</u>.","sum([bkb1a901],[bkb1a902],[bkb1a903])",,,,,,"[bkb_list] = '1'",y,,,,,
bkb1a1001,bkbsin,"<font size=3>10. <font color = ""gray""> The </font color> <u>man</u> <font color = ""gray""> is </font color> <u> painting </u> <font color = ""gray""> a </font color> <u> sign</u>.",radio,"<div style=""text-align:right"">man","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a10,,
bkb1a1002,bkbsin,,radio,"<div style=""text-align:right"">painting","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a10,,
bkb1a1003,bkbsin,,radio,"<div style=""text-align:right"">sign","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1a10,,
bkb1a10,bkbsin,,calc,"10. <font color = ""gray""> The </font color> <u>man</u> <font color = ""gray""> is </font color> <u> painting </u> <font color = ""gray""> a </font color> <u> sign</u>.","sum([bkb1a1001],[bkb1a1002],[bkb1a1003])",,,,,,"[bkb_list] = '1'",y,,,,,
bkb1a_total,bkbsin,,calc,"Total Key Words Correct","sum([bkb1a1],[bkb1a2],[bkb1a3],[bkb1a4],[bkb1a5],[bkb1a6],[bkb1a7],[bkb1a8],[bkb1a9],[bkb1a10])",,,,,,"[bkb_list] = '1'",,,,,,
bkb1a_snr50,bkbsin,,calc,SNR-50,"23.5 - [bkb1a_total]",,,,,,"[bkb_list] = '1'",,,,,,
bkb1b101,bkbsin,"<div class = ""gray""> <center> <font size = 3> <b>List 1B</b> </div class>

1. <font color = ""gray"">The</font color> <u>dog made </u><font color = ""gray""> an </font color> <u> angry noise</u>.",radio,"<div style=""text-align:right"">dog","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b1,,
bkb1b102,bkbsin,,radio,"<div style=""text-align:right"">made","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b1,,
bkb1b103,bkbsin,,radio,"<div style=""text-align:right"">angry","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b1,,
bkb1b104,bkbsin,,radio,"<div style=""text-align:right"">noise","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b1,,
bkb1b1,bkbsin,,calc,"1. <font color = ""gray"">The</font color> <u>dog made </u><font color = ""gray""> an </font color> <u> angry noise</u>.","sum([bkb1b101],[bkb1b102],[bkb1b103],[bkb1b104])",,,,,,"[bkb_list] = '1'",y,,,,,
bkb1b201,bkbsin,"<font size=3>2. <u>They followed</u><font color = ""gray""> the </font color> <u> path</u>.",radio,"<div style=""text-align:right"">They","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b2,,
bkb1b202,bkbsin,,radio,"<div style=""text-align:right"">followed","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b2,,
bkb1b203,bkbsin,,radio,"<div style=""text-align:right"">path","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b2,,
bkb1b2,bkbsin,,calc,"2. <u>They followed</u><font color = ""gray""> the </font color> <u> path</u>.","sum([bkb1b201],[bkb1b202],[bkb1b203])",,,,,,"[bkb_list] = '1'",y,,,,,
bkb1b301,bkbsin,"<font size=3>3. <u>Someone</u><font color = ""gray""> is </font color> <u> crossing </u> <font color = ""gray""> the </font color> <u> road </u>.",radio,"<div style=""text-align:right"">Someone","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b3,,
bkb1b302,bkbsin,,radio,"<div style=""text-align:right"">crossing","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b3,,
bkb1b303,bkbsin,,radio,"<div style=""text-align:right"">road","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b3,,
bkb1b3,bkbsin,,calc,"3. <u>Someone</u><font color = ""gray""> is </font color> <u> crossing </u> <font color = ""gray""> the </font color> <u> road </u>.","sum([bkb1b301],[bkb1b302],[bkb1b303])",,,,,,"[bkb_list] = '1'",y,,,,,
bkb1b401,bkbsin,"<font size=3>4. <font color = ""gray""> The </font color><u>mailman brought</u> <font color = ""gray""> a </font color> <u> letter</u>.",radio,"<div style=""text-align:right"">Mailman","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b4,,
bkb1b402,bkbsin,,radio,"<div style=""text-align:right"">brought","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b4,,
bkb1b403,bkbsin,,radio,"<div style=""text-align:right"">letter","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b4,,
bkb1b4,bkbsin,,calc,"4. <font color = ""gray""> The </font color><u>mailman brought</u> <font color = ""gray""> a </font color> <u> letter</u>.","sum([bkb1b401],[bkb1b402],[bkb1b403])",,,,,,"[bkb_list] = '1'",y,,,,,
bkb1b501,bkbsin,"<font size=3>5. <font color = ""gray""> The </font color><u>milk</u> <font color = ""gray""> was by the </font color> <u> front door</u>.",radio,"<div style=""text-align:right"">milk","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b5,,
bkb1b502,bkbsin,,radio,"<div style=""text-align:right"">front","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b5,,
bkb1b503,bkbsin,,radio,"<div style=""text-align:right"">door","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b5,,
bkb1b5,bkbsin,,calc,"5. <font color = ""gray""> The </font color><u>milk</u> <font color = ""gray""> was by the </font color> <u> front door</u>.","sum([bkb1b501],[bkb1b502],[bkb1b503])",,,,,,"[bkb_list] = '1'",y,,,,,
bkb1b601,bkbsin,"<font size=3>6. <font color = ""gray""> The </font color><u>candy shop</u> <font color = ""gray""> was</font color> <u> empty</u>.",radio,"<div style=""text-align:right"">candy","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b6,,
bkb1b602,bkbsin,,radio,"<div style=""text-align:right"">shop","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b6,,
bkb1b603,bkbsin,,radio,"<div style=""text-align:right"">empty","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b6,,
bkb1b6,bkbsin,,calc,"6. <font color = ""gray""> The </font color><u>candy shop</u> <font color = ""gray""> was</font color> <u> empty</u>.","sum([bkb1b601],[bkb1b602],[bkb1b603])",,,,,,"[bkb_list] = '1'",y,,,,,
bkb1b701,bkbsin,"<font size=3>7. <font color = ""gray""> The </font color><u>lady stayed</u> <font color = ""gray""> for </font color> <u>lunch</u>.",radio,"<div style=""text-align:right"">lady","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b7,,
bkb1b702,bkbsin,,radio,"<div style=""text-align:right"">stayed","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b7,,
bkb1b703,bkbsin,,radio,"<div style=""text-align:right"">lunch","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b7,,
bkb1b7,bkbsin,,calc,"7. <font color = ""gray""> The </font color><u>lady stayed</u> <font color = ""gray""> for </font color> <u>lunch</u>.","sum([bkb1b701],[bkb1b702],[bkb1b703])",,,,,,"[bkb_list] = '1'",y,,,,,
bkb1b801,bkbsin,"<font size=3>8. <font color = ""gray""> The </font color><u>policeman knows</u> <font color = ""gray""> the </font color> <u>way</u>.",radio,"<div style=""text-align:right"">policeman","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b8,,
bkb1b802,bkbsin,,radio,"<div style=""text-align:right"">knows","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b8,,
bkb1b803,bkbsin,,radio,"<div style=""text-align:right"">way","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b8,,
bkb1b8,bkbsin,,calc,"8. <font color = ""gray""> The </font color><u>policeman knows</u> <font color = ""gray""> the </font color> <u>way</u>.","sum([bkb1b801],[bkb1b802],[bkb1b803])",,,,,,"[bkb_list] = '1'",y,,,,,
bkb1b901,bkbsin,"<font size=3>9. <font color = ""gray""> The </font color><u>little girl</u> <font color = ""gray""> was </font color> <u>happy</u>.",radio,"<div style=""text-align:right"">little","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b9,,
bkb1b902,bkbsin,,radio,"<div style=""text-align:right"">girl","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b9,,
bkb1b903,bkbsin,,radio,"<div style=""text-align:right"">happy","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b9,,
bkb1b9,bkbsin,,calc,"9. <font color = ""gray""> The </font color><u>little girl</u> <font color = ""gray""> was </font color> <u>happy</u>.","sum([bkb1b901],[bkb1b902],[bkb1b903])",,,,,,"[bkb_list] = '1'",y,,,,,
bkb1b1001,bkbsin,"<font size=3>10. <u> They</u> <font color = ""gray""> are </font color><u>coming</u> <font color = ""gray""> for </font color> <u>Christmas</u>.",radio,"<div style=""text-align:right"">They","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b10,,
bkb1b1002,bkbsin,,radio,"<div style=""text-align:right"">coming","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b10,,
bkb1b1003,bkbsin,,radio,"<div style=""text-align:right"">Christmas","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '1'",y,,,bkb1b10,,
bkb1b10,bkbsin,,calc,"10. <u> They</u> <font color = ""gray""> are </font color><u>coming</u> <font color = ""gray""> for </font color> <u>Christmas</u>.","sum([bkb1b1001],[bkb1b1002],[bkb1b1003])",,,,,,"[bkb_list] = '1'",y,,,,,
bkb1b_total,bkbsin,,calc,"Total Key Words Correct","sum([bkb1b1],[bkb1b2],[bkb1b3],[bkb1b4],[bkb1b5],[bkb1b6],[bkb1b7],[bkb1b8],[bkb1b9],[bkb1b10])",,,,,,"[bkb_list] = '1'",,,,,,
bkb1b_snr50,bkbsin,,calc,SNR-50,"23.5 - [bkb1b_total]",,,,,,"[bkb_list] = '1'",,,,,,
bkb1_snr50,bkbsin,,calc,"Average SNR-50","mean([bkb1a_snr50], [bkb1b_snr50])",,,,,,"[bkb_list] = '1'",,,,,,
bkb7a101,bkbsin,"<div class = ""gray""> <center> <font size = 3> <b>List 7A</b> </div class> 

1. <u>Men wear long pants</u>.",radio,"<div style=""text-align:right"">Men","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '7'",y,,,bkb7a1,,
bkb7a102,bkbsin,,radio,"<div style=""text-align:right"">wear","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '7'",y,,,bkb7a1,,
bkb7a103,bkbsin,,radio,"<div style=""text-align:right"">long","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '7'",y,,,bkb7a1,,
bkb7a104,bkbsin,,radio,"<div style=""text-align:right"">pants","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '7'",y,,,bkb7a1,,
bkb7a1,bkbsin,,calc,"1. <u>Men wear long pants</u>.","sum([bkb7a101],[bkb7a102],[bkb7a103],[bkb7a104])",,,,,,"[bkb_list] = '7'",y,,,,,
bkb7a201,bkbsin,"<font size=3>2. <font color = ""gray"">The</font color> <u>two farmers </u><font color = ""gray""> are </font color> <u> talking</u>.",radio,"<div style=""text-align:right"">two","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '7'",y,,,bkb7a2,,
bkb7a202,bkbsin,,radio,"<div style=""text-align:right"">farmers","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '7'",y,,,bkb7a2,,
bkb7a203,bkbsin,,radio,"<div style=""text-align:right"">talking","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '7'",y,,,bkb7a2,,
bkb7a2,bkbsin,,calc,"2. <font color = ""gray"">The</font color> <u>two farmers </u><font color = ""gray""> are </font color> <u> talking</u>.","sum([bkb7a201],[bkb7a202],[bkb7a203])",,,,,,"[bkb_list] = '7'",y,,,,,
bkb7a301,bkbsin,"<font size=3>3. <u>Father wrote</u><font color=""gray""> a </font color><u>letter</u>.",radio,"<div style=""text-align:right"">Father","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '7'",y,,,bkb7a3,,
bkb7a302,bkbsin,,radio,"<div style=""text-align:right"">wrote","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '7'",y,,,bkb7a3,,
bkb7a303,bkbsin,,radio,"<div style=""text-align:right"">letter","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '7'",y,,,bkb7a3,,
bkb7a3,bkbsin,,calc,"3. <u>Father wrote</u><font color=""gray""> a </font color><u>letter</u>.","sum([bkb7a301],[bkb7a302],[bkb7a303])",,,,,,"[bkb_list] = '7'",y,,,,,
bkb7a401,bkbsin,"<font size=3>4. <font color = ""gray"">The </font color> <u> food cost </u> <font color = ""gray""> a </font color> <u>lot</u>.",radio,"<div style=""text-align:right"">food","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '7'",y,,,bkb7a4,,
bkb7a402,bkbsin,,radio,"<div style=""text-align:right"">cost","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '7'",y,,,bkb7a4,,
bkb7a403,bkbsin,,radio,"<div style=""text-align:right"">lot","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '7'",y,,,bkb7a4,,
bkb7a4,bkbsin,,calc,"4. <font color = ""gray"">The </font color> <u> food cost </u> <font color = ""gray""> a </font color> <u>lot</u>.","sum([bkb7a401],[bkb7a402],[bkb7a403])",,,,,,"[bkb_list] = '7'",y,,,,,
bkb7a501,bkbsin,"<font size=3>5. <font color = ""gray""> The </font color> <u>girl</u> <font color = ""gray""> is </font color> <u>washing</u><font color = ""gray""> her </font color> <u>hair</u>.",radio,"<div style=""text-align:right"">girl","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '7'",y,,,bkb7a5,,
bkb7a502,bkbsin,,radio,"<div style=""text-align:right"">washing","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '7'",y,,,bkb7a5,,
bkb7a503,bkbsin,,radio,"<div style=""text-align:right"">hair","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '7'",y,,,bkb7a5,,
bkb7a5,bkbsin,,calc,"5. <font color = ""gray""> The </font color> <u>girl</u> <font color = ""gray""> is </font color> <u>washing</u><font color = ""gray""> her </font color> <u>hair</u>.","sum([bkb7a501],[bkb7a502],[bkb7a503])",,,,,,"[bkb_list] = '7'",y,,,,,
bkb7a601,bkbsin,"<font size=3>6. <u>He lost</u><font color = ""gray""> his </font color> <u>hat</u>.",radio,"<div style=""text-align:right"">He","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '7'",y,,,bkb7a6,,
bkb7a602,bkbsin,,radio,"<div style=""text-align:right"">lost","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '7'",y,,,bkb7a6,,
bkb7a603,bkbsin,,radio,"<div style=""text-align:right"">hat","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '7'",y,,,bkb7a6,,
bkb7a6,bkbsin,,calc,"6. <u>He lost</u><font color = ""gray""> his </font color> <u>hat</u>.","sum([bkb7a601],[bkb7a602],[bkb7a603])",,,,,,"[bkb_list] = '7'",y,,,,,
bkb7a701,bkbsin,"<font size=3>7. <font color = ""gray""> The </font color> <u>faucets</u> <font color = ""gray""> are </font color> <u>above</u> <font color = ""gray""> the </font color> <u>sink</u>.",radio,"<div style=""text-align:right"">faucets","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '7'",y,,,bkb7a7,,
